"","Year","Month","Day","Reef","mean_cover","sd_veg","HaloBins1SD","HaloBins2SD","halosize","halosize2","Date","daily_temp","rolling_average_14","rolling_average_7","rolling_max_14","rolling_max_7","Total_N","Total_P","Phosphate","Sillicate","N.N","Ammonia","Chlorophyll","total_number","total_mass","total_number_herbivore","total_mass_herbivore","halo_veg_cover","Reef2"
"1",2022,10,18,"R3",0.338830409356725,0.199319011453669,2,0,40,0,2022-10-18,28.1641203703704,28.142251984127,27.8199338624339,29.0881481481481,28.3275,6.600108561,0.11089206,0.029696392,1.077138007,0.115545496,0.103532816,0.974,26,64.4336531720386,26,64.4336531720386,0.0421052631578947,3
"2",2022,11,30,"R1",0.565333333333333,0.229419557434264,1,0,20,0,2022-11-30,26.2238425925926,25.2131481481482,24.8876322751323,26.7470833333333,26.2238425925926,6.03652648,0.206703261,0.111512479,6.002149867,0.247753239,0.223321444,0.96,28,35.9190498247194,23,19.916622565248,0.233333333333333,1
"3",2022,11,30,"R2",0.610701754385965,0.237626854382213,1,1,20,20,2022-11-30,26.2238425925926,25.2131481481482,24.8876322751323,26.7470833333333,26.2238425925926,5.462993461,0.199076556,0.090263575,8.975776953,0.23680282,0.160176243,0.883928571,12,377.329943081713,12,377.329943081713,0.0675438596491228,2
"4",2022,11,30,"R3",0.725703703703704,0.176007501626871,1,0,20,0,2022-11-30,26.2238425925926,25.2131481481482,24.8876322751323,26.7470833333333,26.2238425925926,5.478032952,0.204552139,0.08583672,6.42643407,0.235776218,0.112973642,0.977142857,29,48.1646514474185,26,31.9435980490126,0.333333333333333,3
"5",2022,8,24,"R1",0.329741583688952,0.25332460267029,3,0,60,0,2022-08-24,27.0208333333333,26.5611327945104,26.8272997835498,27.0208333333333,27.0208333333333,8.535328735,0.158330284,0.060522609,2.141939765,0.180497685,0.136224633,0.294642857,27,22.9105757116139,26,22.1162417370035,0.0166666666666667,1
"6",2022,8,24,"R2",0.412393762183236,0.278409498924372,4,0,80,0,2022-08-24,27.0208333333333,26.5611327945104,26.8272997835498,27.0208333333333,27.0208333333333,7.790950544,0.168444749,0.038023498,2.460101273,0.207353742,0.121181422,0.330357143,24,171.532486196105,23,95.503012118993,0.125,2
"7",2022,8,24,"R3",0.622,0.301823288195754,4,2,80,40,2022-08-24,27.0208333333333,26.5611327945104,26.8272997835498,27.0208333333333,27.0208333333333,7.55009938,0.11845595,0.043108297,2.120381281,0.134637176,0.077530395,0.332142857,22,185.312862747334,21,184.518528772724,0.15,3
"8",2022,9,22,"R1",0.304257532720691,0.167494110622152,1,0,20,0,2022-09-22,27.05625,27.1254464285714,27.0380952380952,27.3708333333333,27.2541666666667,7.615505433,0.166479292,0.055719031,2.227456312,0.159503007,0.287643314,0.315384615,29,21.1333900661281,23,8.74989521203017,0.0666666666666667,1
"9",2022,9,22,"R2",0.269657821023146,0.200519303513449,3,0,60,0,2022-09-22,27.05625,27.1254464285714,27.0380952380952,27.3708333333333,27.2541666666667,22.98963861,0.354408043,0.264830836,2.86847437,0.180060772,1.20582515,0.334,9,31.3050554834485,8,7.21073374037032,0.00416666666666667,2
"10",2022,9,22,"R3",0.421513784461153,0.265867804428951,3,0,60,0,2022-09-22,27.05625,27.1254464285714,27.0380952380952,27.3708333333333,27.2541666666667,6.793374669,0.180254174,0.048395707,2.640806183,0.158781682,0.095842775,0.317307692,19,93.7120527917732,19,93.7120527917732,0.0523391812865497,3
"11",2023,1,18,"R1",0.498197478991597,0.226493884785912,1,0,20,0,2023-01-18,25.7264814814815,25.322294973545,25.562996031746,26.1536574074074,26.1536574074074,5.118993474,0.288981011,0.035081663,6.336107998,0.054790282,0.589089881,0.843214286,8,23.1632643720184,6,6.94690929675479,0.2,1
"12",2023,1,18,"R2",0.477895424836601,0.212871885647717,2,0,40,0,2023-01-18,25.7264814814815,25.322294973545,25.562996031746,26.1536574074074,26.1536574074074,5.211902723,0.290133933,0.035483835,5.182092443,0.046234988,0.394189801,0.725555556,8,545.901562172992,8,545.901562172992,0.193137254901961,2
"13",2023,10,25,"R1",0.384,0.167686967051464,1,0,20,0,2023-10-25,27.8370185185185,28.1415072751323,27.9114814814815,29.2484444444444,28.1747407407407,6.513027627,0.093991402,0.048523414,6.734667055,0.262628616,0.396537822,0.786,52,149.047450613696,49,88.5186791552452,0.133333333333333,1
"14",2023,12,4,"R1",0.563555555555556,0.203344655816299,1,0,20,0,2023-12-04,24.9801851851852,25.1851719576719,24.9965740740741,26.1227314814815,26.1165740740741,7.604394806,0.118919648,0.025882694,2.011332736,0.211492101,1.068323953,0.23,46,144.173741349028,42,46.7089198867188,0.25,1
"15",2023,12,4,"R3",0.316,0.175368338231432,1,0,20,0,2023-12-04,24.9801851851852,25.1851719576719,24.9965740740741,26.1227314814815,26.1165740740741,6.158392656,0.113042235,0.043501797,2.242503482,0.145228476,0.471653974,0.222,27,50.3759194219518,27,50.3759194219518,0.0833333333333333,3
"16",2023,3,6,"R1",0.73830809901466,0.153349057459909,1,0,20,0,2023-03-06,24.6269444444444,23.8300165343915,23.8633267195767,24.6269444444444,24.6269444444444,4.874838542,0.232244479,0.069260248,6.914422408,0.180100683,0.090629087,0.43,7,163.210708983243,6,139.116387240165,0.487719298245614,1
"17",2023,3,6,"R2",0.608520942880076,0.273436534372243,2,2,40,40,2023-03-06,24.6269444444444,23.8300165343915,23.8633267195767,24.6269444444444,24.6269444444444,4.45503698,0.238679309,0.076295516,5.511679719,0.254664661,0.176480602,0.4325,6,669.501209213417,6,669.501209213417,0.0504385964912281,2
"18",2023,3,6,"R3",0.628022759601707,0.259024654365493,1,0,20,0,2023-03-06,24.6269444444444,23.8300165343915,23.8633267195767,24.6269444444444,24.6269444444444,6.11862036,0.306537523,0.102776091,8.605109106,0.22483907,0.176987314,0.6625,7,75.5069868208077,7,75.5069868208077,0.25,3
"19",2023,6,30,"R2",0.207669172932331,0.211459479753382,1,0,20,0,2023-06-30,26.5162037037037,27.8644014550265,26.7253637566137,30.342962962963,27.1363888888889,6.022254034,0.172906193,0.080162574,3.877001176,0.130393681,0.205193796,0.286,7,465.804126719664,5,453.002706289266,0,2
"20",2023,8,28,"R3",0.535099573257468,0.259528058077836,5,0,100,0,2023-08-28,27.6179444444444,27.9638214285714,27.4576527777778,29.03125,28.2586805555556,7.593269558,0.145513948,0.046194477,1.611262196,0.152975794,0.083738273,0.304,37,358.857059138353,35,333.85857592837,0.244035087719298,3
"21",2023,9,27,"R1",0.26483918128655,0.152706523838245,2,0,40,0,2023-09-27,26.7853240740741,27.1409507275132,26.7285383597884,28.3434722222222,26.8617361111111,6.404799592,0.129326573,0.02902105,1.499202342,0.215553937,0.430256301,0.383928571,63,204.225904171727,60,163.078061671574,0.0416666666666667,1
